stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
-1.799362677764151e-18,0.05552659949170522,-3.470715433422964e-18,0.05552659949170522,-1.0158042619947197e-18,-0.0017628836886731762,-3.470715433422964e-18,-0.0017628836886731762,-5.6194812698810454e-18,0.05555457685926545,-5.835822977293182e-18,-0.055554576859265445,0.05683381522775339,0.996764683811237,0.05683381522775347,100.0,96.42857142857144,[0.32587542]
-4.805535547128866e-18,0.05413181774346616,4.421251422774494e-19,0.05413181774346616,-7.032491044578829e-19,-0.0012456188210378837,4.421251422774494e-19,-0.0012456188210378837,-9.537273348728201e-18,0.05414614721713046,-9.514526172176058e-18,-0.05414614721713046,0.06298535265327335,0.9960249448192979,0.06298535265327333,100.0,96.42857142857144,[0.32587542]
-7.822561026130277e-18,0.05157441528826223,4.3497089851850885e-18,0.05157441528826223,-4.514685608865421e-19,-0.000846958067132614,4.3497089851850885e-18,-0.000846958067132614,-1.3520181085395533e-17,0.05158136921693354,-1.3375770101073269e-17,-0.051581369216933536,0.06762258835329012,0.9954166821431129,0.06762258835329,100.0,96.42857142857144,[0.32587542]
-1.0856950680550401e-17,0.047039125349361326,8.254393146455423e-18,0.047039125349361326,-2.7999732862674966e-19,-0.000606413856497974,8.254393146455423e-18,-0.000606413856497974,-1.7600762308793124e-17,0.04704303403691434,-1.7386840573588643e-17,-0.04704303403691434,0.07010653115385906,0.9950729363112766,0.07010653115385883,100.0,96.42857142857144,[0.32587542]
-1.3917386598098595e-17,0.03830158985868439,1.216268919187047e-17,0.03830158985868439,-2.626331532080365e-19,-0.0006384148862481103,1.216268919187047e-17,-0.0006384148862481103,-2.1894054681069952e-17,0.038306910072072625,-2.14864819593493e-17,-0.03830691007207263,0.06744945064263945,0.9954401756087667,0.06744945064263899,100.0,96.42857142857144,[0.32587542]
-1.7066813914667694e-17,0.016797644976873242,1.603919048249051e-17,0.016797644976873242,-7.618531964960398e-19,-0.0012554052197336547,1.603919048249051e-17,-0.0012554052197336547,-2.677772901758303e-17,0.01684449224627471,-2.433867012935128e-17,-0.016844492246274732,0.02658197252481355,0.9992931489174637,0.026581972524812172,100.0,96.42857142857144,[0.33515676]
-2.1001970168933563e-17,-0.0963442197700644,1.9909044549708075e-17,-0.0963442197700644,-5.070339222264242e-18,-0.00047154311094671795,1.9909044549708075e-17,-0.00047154311094671795,-3.427905279846711e-17,0.09634537371357249,-3.447361476770753e-17,-0.09634537371357253,0.08260892366766596,0.993152320372328,0.08260892366766569,100.0,96.42857142857144,[0.44370346]
-3.7463208465873636e-18,-0.1352714548395695,-2.4078848214011415e-17,-0.1352714548395695,-9.674016230150568e-18,-0.07812051045406922,-2.4078848214011415e-17,-0.07812051045406922,3.75500293429672e-19,0.15620877263463154,2.615274309493803e-17,-0.1562087726346316,0.6252033684939576,0.46716324346808097,0.6252033684939575,100.0,122.14285714285735,[0.51046717]
-1.6886660594698547e-18,-0.008025476201925372,-2.139699456145769e-17,-0.008025476201925372,-4.860883856276014e-18,-0.04805186029045844,-2.139699456145769e-17,-0.04805186029045844,3.5032223907253794e-18,0.048717446009016174,4.347720819839946e-18,-0.048717446009016174,0.6525184935366409,0.38527812186178534,0.6525184935366409,100.0,122.14285714285735,[0.33948935]
-7.553416307140223e-19,0.020687930398166677,-1.945122127716317e-17,0.020687930398166677,-3.838568028499277e-18,-0.03369450567567401,-1.945122127716317e-17,-0.03369450567567401,4.380113249370394e-18,0.03953871744110347,-1.3658157503464985e-17,-0.03953871744110343,0.3133852758732121,0.8964258685087918,0.3133852758732121,100.0,122.14285714285735,[0.37702988]
-3.255782891008717e-20,0.032535205378727027,-1.7702759882175506e-17,0.032535205378727027,-3.3360922023202657e-18,-0.027265076944701875,-1.7702759882175506e-17,-0.027265076944701875,4.76972193532777e-18,0.042449075488595334,-1.1084547281488049e-17,-0.04244907548859527,0.0962190491585729,0.9906986369012728,0.09621904915857313,100.0,122.14285714285735,[0.3715182]
6.359629247103694e-19,0.03856070607686726,-1.6029177254380403e-17,0.03856070607686726,-3.0126844351467327e-18,-0.023927416079914735,-1.6029177254380403e-17,-0.023927416079914735,4.987859389025354e-18,0.045381155708156096,-1.2845918802373123e-17,-0.04538115570815615,0.003982793694167022,0.9999841372285759,0.003982793694167594,100.0,122.14285714285735,[0.36244325]
1.2719258494207387e-18,0.04179123009464332,-1.4398945714923132e-17,0.04179123009464332,-2.7391986723020005e-18,-0.02213016971404982,-1.4398945714923132e-17,-0.02213016971404982,5.1246022704477204e-18,0.04728901906781394,-7.316430629727182e-18,-0.047289019067813895,0.05227711486061287,0.9972633586589355,0.0522771148606131,100.0,122.14285714285735,[0.36900946]
1.8579667698023078e-18,0.043355372203354475,-1.2787629934918572e-17,0.043355372203354475,-2.5264875234227643e-18,-0.021262431901346197,-1.2787629934918572e-17,-0.021262431901346197,5.213593669468625e-18,0.048288500797299426,-5.795176862467146e-18,-0.04828850079729945,0.07413990830930002,0.9944880833834949,0.07413990830930015,100.0,122.14285714285735,[0.3676151]
2.476565519093964e-18,0.043724437383571416,-1.1196060817292028e-17,0.043724437383571416,-2.336566854780589e-18,-0.021062083456937265,-1.1196060817292028e-17,-0.021062083456937265,5.267856717652104e-18,0.04853285262641019,-3.610543137225071e-18,-0.048532852626410175,0.07909904176362978,0.9937236452777759,0.07909904176362982,100.0,122.14285714285735,[0.3676151]
